"lga_id","zone","state","lga","ward","community","facility_name","facility_type","long_id","short_id"
262,"northwest","jigawa","GURI","Guri","Guri","Primary Health  care centre","primaryhealthcarecentre","7311850e936a8d63943602ea84bd10fe","B:omxg"
262,"northwest","jigawa","GURI","Garbagal","Garbagal","Garbagal Basic Health Clinic","primaryhealthcarecentre","c86acaf655997144d641741ff43453ac","B:korj"
262,"northwest","jigawa","GURI","Musari","Zugobiya","Basic health clinic","primaryhealthcarecentre","61745fdb603b665877a5781ca264c983","B:kgxo"
262,"northwest","jigawa","GURI","Kadara","Kadara","Basic Health Centre","primaryhealthclinic","7c38e6be1e7a25b54b0acf29065c0ba7","B:oypx"
262,"northwest","jigawa","GURI","Margadu","Margadu","Margadu Dispensary","dispensary","6f59d8a98f6f96ea0b66d1790024950e","B:sigf"
262,"northwest","jigawa","GURI","Abinabo","Gaduwa","Basic Health Centre","primaryhealthcarecentre","680f01c6c685612fcd3432433816f1b8","B:xhjx"
262,"northwest","jigawa","GURI","Musari","Una","Health Post","healthpost","ba822f7461fe8c649699a5b0e3cc15cb","B:kpoy"
262,"northwest","jigawa","GURI","Matara Babba","Dolan Zugo","CLINIC","healthpost","3aab9abb734875d919aec5a8c71c355b","B:zrer"
262,"northwest","jigawa","GURI","Abinabo","Abinabo","Model Primary Health care","primaryhealthcarecentre","96063ec7d4592476feea9804dc400c59","B:chjq"
262,"northwest","jigawa","GURI","Musari","Musari","Basic Health Clinic","primaryhealthcarecentre","06e0c67c005019dbcc1034d29ecdf35c","B:xtpb"
262,"northwest","jigawa","GURI","Dawa","Gagiya","Gagiya Health Post","healthpost","0c1c6899c1c376a819a07ce3d43b19aa","B:cgjf"
262,"northwest","jigawa","GURI","Lafiya","Lafiya","L afiya Health Clinic","primaryhealthclinic","a620f910213e5da6067c7fa87d12fabc","B:bjpe"
262,"northwest","jigawa","GURI","Adiyani","Adiyani","Adiyani Health clinic","primaryhealthclinic","77072a9843c0db6b2b3398be400c84de","B:ukwr"
